measurement_date	invoice_status	agency	aging_bucket	sum_of_trips	sum_of_dollars
2015-12-18	Hold-NEMHS	SR5	180-365	4	212
2016-01-09	Hold-NEMHS	PB1	0-30	16	714
2015-12-17	Hold-NEMHS	MRC	60-90	2	94
2015-12-09	Hold-NEMHS	FA1	180-365	1	61
2015-11-30	Hold-NEMHS	SK2	0-30	4	215.5
2015-12-07	Hold-NEMHS	PN1	365+	1	42.2
2015-12-15	Hold-NEMHS	FA1	180-365	1	61
2015-12-30	Hold-NEMHS	HE6	180-365	2	210
2016-01-13	Write off	PVT	0-30	21	1753
2016-01-16	Hold-NEMHS	SR3	90-180	14	718
2016-01-02	Billed	MP1	90-180	1	153
2015-12-03	Hold-NEMHS	KE3	30-60	11	759
2015-12-24	Hold-NEMHS	HE6	180-365	2	210
2015-12-26	Hold-NEMHS	LR5	180-365	1	41
2015-11-29	Hold-NEMHS	PN1	365+	1	42.2
2016-01-07	Hold-NEMHS	HE6	180-365	2	210
2015-12-08	Hold-NEMHS	SK2	0-30	4	204
2015-12-01	Hold-NEMHS	FA1	180-365	1	61
2015-12-18	Hold-NEMHS	LR5	180-365	1	41
2016-01-01	Write off	MID	180-365	19	692.47
2015-12-22	Hold-NEMHS	TL1	180-365	12	1496.82
2016-01-10	Billed	MP1	90-180	3	259
2016-01-04	Hold-NEMHS	MR5	180-365	16	1464
2016-01-12	Hold-NEMHS	SR3	180-365	14	814
2015-12-29	Hold-NEMHS	MR5	180-365	16	1464
2016-01-07	Hold-NEMHS	SK2	180-365	2	266
2015-12-23	Hold-NEMHS	FA1	180-365	1	61
2015-12-30	Write off	PVT	0-30	22	1814
2015-12-11	Manual Tracking	ND2	0-30	1	43.25
2015-12-11	Hold-NEMHS	KE3	30-60	8	752
2015-12-09	Write off	MID	90-180	65	2399.01
2015-12-11	Hold-NEMHS	KE3	365+	7	783
2015-12-27	Write off	TL1	180-365	2	160.84
2015-11-27	Hold-NEMHS	PVT	30-60	224	15653.79
2015-11-23	Hold-NEMHS	PVT	365+	15	1851
2015-11-24	Write off	SR3	180-365	2	130
2015-12-17	Manual Tracking	LOG	365+	34	788.53
2015-12-21	Hold-NEMHS	MRC	90-180	4	329.85
2015-12-23	Hold-NEMHS	PR1	180-365	5	365
2016-01-07	Billed	LOG	180-365	259	4921.13
2015-12-03	Write off	SR3	365+	3	163
2015-12-18	Hold-NEMHS	HE6	30-60	2	186
2016-01-03	Billed	LOG	60-90	97	2912.35
2015-11-24	Hold-NEMHS	HE6	0-30	2	197
2015-12-29	Write off	SE2	365+	2	98
2015-12-29	Hold-NEMHS	SE2	90-180	14	758
2016-01-15	Write off	LOG	365+	452	10488.89
2015-12-16	Hold-NEMHS	HE6	180-365	2	210
2015-12-17	Manual Tracking	MP1	180-365	6	358
2015-12-21	Hold-NEMHS	ND2	180-365	19	1315
2015-12-12	Hold-NEMHS	SR5	180-365	4	212
2015-12-27	Write off	LOG	180-365	257	5162.42
2015-12-21	Hold-NEMHS	BR7	365+	2	114
2015-12-31	Hold-NEMHS	TL1	0-30	9	65.24
2015-11-26	Billed	PB1	180-365	1	61
2015-12-27	Hold-NEMHS	HE6	0-30	4	479
2015-11-29	Hold-NEMHS	MID	0-30	1	62
2016-01-03	Rebill	LOG	180-365	27	640.46
2015-12-21	Hold-NEMHS	WS3	0-30	2	562.5
2015-12-02	Write off	PVT	60-90	2	258
2015-12-30	Hold-NEMHS	CDS	90-180	85	1887.75
2015-12-26	Hold-NEMHS	SS1	90-180	4	276
2015-11-26	Hold-NEMHS	MRC	30-60	5	512.9
2015-11-26	Hold-NEMHS	TL1	60-90	3	580.28
2015-12-09	Manual Tracking	KE3	30-60	1	69
2015-12-05	Write off	TL1	365+	1	15.55
2016-01-06	Hold-NEMHS	LOG	365+	6	56.25
2016-01-12	Hold-NEMHS	LOG	365+	11	311.82
2015-12-29	Hold-NEMHS	LOG	30-60	57	1185.53
2015-12-18	Hold-NEMHS	MR4	180-365	13	833
2016-01-10	Hold-NEMHS	TL1	180-365	10	1376.08
2015-12-21	Hold-NEMHS	CDS	30-60	169	3706.3
2015-11-28	Hold-NEMHS	VA1	90-180	7	875.72
2016-01-07	Hold-NEMHS	MP1	30-60	28	1462.5
2015-12-23	Hold-NEMHS	BR7	180-365	17	787.8
2015-12-12	Hold-NEMHS	ER2	180-365	2	226
2015-12-28	Billed	LOG	60-90	120	3534.95
2015-11-29	Hold-NEMHS	PVT	365+	13	2057
2015-12-20	Manual Tracking	MP1	365+	4	284
2016-01-04	Hold-NEMHS	SE2	90-180	16	758
2015-12-07	Hold-NEMHS	PB1	30-60	12	876
2016-01-13	Write off	FAC	365+	14	738
2015-12-27	F	LOG	60-90	2	162
2015-12-31	Write off	MID	90-180	50	1995.8
2015-12-16	Hold-NEMHS	SG2	60-90	10	640
2015-12-02	Hold-NEMHS	WS3	90-180	1	353
2016-01-13	Hold-NEMHS	MR4	0-30	4	456
2016-01-14	Hold-NEMHS	ND2	365+	2	90
2015-11-25	Write off	MID	60-90	3	120.26
2015-12-24	Write off	LOG	365+	4	131.5
2015-12-18	Hold-NEMHS	MP1	365+	6	998
2015-12-22	Hold-NEMHS	PVT	90-180	641	45462.35
2015-11-26	Hold-NEMHS	BR3	60-90	27	2399
2015-12-02	Write off	SE2	365+	2	98
2015-12-09	Hold-NEMHS	SG2	90-180	5	369
2016-01-09	Write off	PVT	30-60	20	1740.9
2015-12-22	Write off	LOG	30-60	2	36.5
2016-01-03	Write off	PVT	30-60	20	1740.9
2015-11-26	Manual Tracking	LE2	0-30	1	0
2016-01-07	Rebill	LOG	365+	9	214.53
2016-01-01	Rebill	LOG	365+	9	214.53
2015-12-28	Hold-NEMHS	BR7	180-365	18	836.8
2016-01-09	Hold-NEMHS	MP1	365+	3	187
2015-12-16	Hold-NEMHS	PR1	365+	1	61
2015-11-26	Billed	LOG	365+	29	101.5
2015-12-02	Billed	LOG	365+	32	155.5
2015-12-10	Hold-NEMHS	PR1	365+	1	61
2015-12-07	Hold-NEMHS	KE3	90-180	41	2925
2015-12-13	Manual Tracking	MP1	60-90	2	106
2015-11-25	Hold-NEMHS	FE4	180-365	8	688
2015-12-02	Hold-NEMHS	SG2	60-90	18	1542
2015-12-07	Hold-NEMHS	PB1	90-180	7	507
2015-12-05	Hold-NEMHS	ND2	0-30	22	1034.75
2015-12-11	Hold-NEMHS	LOG	0-30	61	1166.55
2015-12-28	Write off	MID	30-60	4	192.64
2015-12-22	Hold-NEMHS	CR5	180-365	7	367
2015-11-28	Hold-NEMHS	MR4	180-365	27	1340.6
2016-01-05	Hold-NEMHS	SR1	90-180	6	342
2016-01-16	Hold-NEMHS	SY4	90-180	14	798
2016-01-02	Hold-NEMHS	MRC	90-180	4	329.85
2015-12-31	Hold-NEMHS	MR4	180-365	13	833
2015-11-27	Hold-NEMHS	ND2	0-30	19	810.75
2015-11-26	Hold-NEMHS	BR3	180-365	10	738.9
2016-01-05	Hold-NEMHS	MP1	30-60	28	1466.5
2015-12-14	Manual Tracking	MP1	365+	4	284
2015-12-03	Hold-NEMHS	TL1	0-30	1	0
2015-12-26	Hold-NEMHS	PB1	0-30	10	428.5
2016-01-16	Write off	LOG	180-365	2123	44073.63
2015-11-26	Hold-NEMHS	WS3	90-180	1	353
2015-12-14	Hold-NEMHS	CR5	180-365	6	310
2015-12-03	Hold-NEMHS	LOG	0-30	455	1126.27
2015-12-16	Write off	FAC	365+	14	738
2015-12-16	Hold-NEMHS	MRC	30-60	10	777.4
2016-01-11	Hold-NEMHS	FE4	365+	2	186
2015-12-15	Hold-NEMHS	OH2	180-365	1	77
2016-01-08	Hold-NEMHS	MP1	0-30	91	4469.1
2016-01-07	Hold-NEMHS	SY4	30-60	4	220
2015-12-06	Hold-NEMHS	MP1	0-30	61	3799.5
2016-01-13	Write off	PVT	365+	108	5941.95
2015-12-24	Hold-NEMHS	MRC	30-60	9	492.4
2015-12-04	Write off	MID	90-180	65	2399.01
2016-01-03	Hold-NEMHS	FE4	365+	2	186
2016-01-16	Hold-NEMHS	HL1	180-365	1	57
2015-11-29	Write off	SR3	90-180	10	642
2015-12-28	Hold-NEMHS	SR3	90-180	4	212
2015-12-29	Hold-NEMHS	CDS	60-90	140	3183.1
2015-12-28	Hold-NEMHS	FA1	180-365	1	61
2016-01-10	Hold-NEMHS	LOG	180-365	905	19201.05
2015-12-20	Hold-NEMHS	ML6	180-365	1	109
2016-01-06	Hold-NEMHS	CDS	60-90	152	3305.65
2015-12-08	Hold-NEMHS	FE4	90-180	2	234
2015-12-19	Hold-NEMHS	WS3	0-30	2	562.5
2015-12-20	Hold-NEMHS	FA1	180-365	1	61
2015-12-23	Hold-NEMHS	OH2	180-365	1	77
2015-11-29	Hold-NEMHS	PB1	90-180	5	337
2015-12-16	Hold-NEMHS	SR3	30-60	19	1091
2016-01-07	Write off	PVT	90-180	8	708.7
2015-12-01	Hold-NEMHS	NB1	0-30	4	564
2016-01-12	Hold-NEMHS	MID	60-90	1	53
2016-01-08	Hold-NEMHS	VA1	90-180	10	529.08
2015-11-28	Hold-NEMHS	SR5	180-365	4	212
2016-01-14	Billed	WC1	60-90	1	57
2015-12-16	Hold-NEMHS	SK2	180-365	2	266
2015-12-20	Hold-NEMHS	TL1	180-365	14	2173.78
2015-12-04	Hold-NEMHS	LR5	180-365	1	41
2015-12-06	Hold-NEMHS	TL1	0-30	1	65.24
2015-12-26	Hold-NEMHS	MP1	0-30	95	5166.95
2016-01-08	Hold-NEMHS	MRC	60-90	12	871.4
2015-12-13	Write off	TL1	180-365	2	160.84
2016-01-12	Hold-NEMHS	SR1	90-180	6	342
2015-12-31	Hold-NEMHS	VA1	90-180	6	361.08
2015-12-22	F	LOG	60-90	3	255
2015-12-10	Billed	PVT	180-365	1	133
2015-12-13	Hold-NEMHS	PB1	0-30	7	394
2016-01-05	Hold-NEMHS	HE6	180-365	2	210
2015-12-06	Write off	BR7	30-60	6	318
2015-11-23	Hold-NEMHS	SY4	180-365	76	5064
2015-11-26	Billed	PVT	180-365	1	133
2015-12-02	Billed	PVT	180-365	1	133
2016-01-13	Hold-NEMHS	HE6	180-365	2	210
2015-12-29	Hold-NEMHS	LOG	0-30	313	5407.94
2015-11-27	Hold-NEMHS	MRC	60-90	1	101
2015-12-19	Hold-NEMHS	SR3	90-180	6	342
2015-12-23	Billed	MP1	180-365	37	2865
2016-01-06	Hold-NEMHS	SR3	180-365	20	1196
2016-01-06	Hold-NEMHS	FA1	180-365	2	138
2015-12-30	Hold-NEMHS	MID	60-90	1	53
2015-12-24	Hold-NEMHS	SK2	180-365	2	266
2015-12-25	Hold-NEMHS	KE3	30-60	6	525.6
2015-12-29	Billed	MP1	180-365	37	2865
2015-12-29	Write off	BR7	365+	1	49
2016-01-09	Manual Tracking	MID	0-30	1	67.19
2016-01-10	Hold-NEMHS	SS1	180-365	21	1465
2015-12-17	Hold-NEMHS	KE3	30-60	6	525.6
2015-12-21	Rebill	LOG	180-365	30	719.76
2015-12-10	Billed	MP1	30-60	23	1135
2015-12-05	Hold-NEMHS	KE3	30-60	11	759
2016-01-13	Hold-NEMHS	WC1	0-30	6	388.5
2015-12-11	Hold-NEMHS	HL1	90-180	1	57
2015-12-25	Hold-NEMHS	KE3	365+	7	783
2015-12-27	Hold-NEMHS	SS1	180-365	19	1299
2015-12-29	Hold-NEMHS	SR3	180-365	34	2102
2016-01-09	Hold-NEMHS	LR5	180-365	1	41
2015-12-22	Hold-NEMHS	SY4	90-180	8	456
2015-12-10	Hold-NEMHS	SR3	30-60	22	1317.5
2016-01-06	Hold-NEMHS	MID	60-90	1	53
2015-12-08	F	LOG	60-90	3	279
2015-12-08	Write off	MRC	365+	2	20
2015-12-27	Hold-NEMHS	TL1	180-365	12	1496.82
2015-12-04	Hold-NEMHS	SR5	180-365	4	212
2015-12-16	Write off	MID	0-30	4	192.64
2015-12-10	Hold-NEMHS	SK2	180-365	2	266
2015-12-09	Billed	LOG	365+	33	180.5
2016-01-12	Hold-NEMHS	MR5	180-365	16	1464
2015-12-12	Hold-NEMHS	VA1	90-180	6	361.08
2016-01-09	Hold-NEMHS	SS1	90-180	2	138
2015-12-02	Write off	SR3	180-365	6	382
2016-01-11	Billed	LOG	60-90	49	1613.69
2015-12-13	Write off	BR7	60-90	4	212
2015-12-12	Hold-NEMHS	TL1	0-30	2	65.24
2015-12-30	Manual Tracking	LE2	30-60	1	98.8
2015-12-17	Write off	MID	90-180	66	2424.68
2016-01-05	Write off	BR7	90-180	2	106
2016-01-06	Hold-NEMHS	SE2	90-180	16	758
2016-01-15	Write off	TL1	365+	1	15.55
2015-12-19	Hold-NEMHS	HE6	0-30	7	670
2015-12-10	Hold-NEMHS	BR3	90-180	11	1003
2016-01-04	Hold-NEMHS	LOG	365+	6	56.25
2015-12-13	Hold-NEMHS	HE6	0-30	5	467
2015-12-31	Hold-NEMHS	PB1	180-365	13	1757
2015-12-29	Hold-NEMHS	LOG	365+	6	56.25
2015-12-18	Hold-NEMHS	MP1	0-30	59	3304.45
2015-12-19	Write off	TL1	365+	1	15.55
2015-12-13	Hold-NEMHS	MRC	90-180	4	329.85
2016-01-15	Billed	LOG	180-365	1	13
2015-12-21	Write off	PVT	30-60	1	57
2015-12-13	Hold-NEMHS	WS3	0-30	2	562.5
2016-01-07	Hold-NEMHS	CDS	90-180	125	2869.35
2016-01-07	Write off	VA1	365+	1	15.55
2016-01-12	Hold-NEMHS	CDS	60-90	154	3334.15
2016-01-08	Hold-NEMHS	TL1	0-30	8	687.08
2015-12-17	Write off	SR3	365+	3	163
2015-11-26	Hold-NEMHS	SG2	60-90	16	1308
2015-11-29	Manual Tracking	MP1	60-90	2	146
2016-01-05	Hold-NEMHS	MR4	0-30	4	483.25
2015-12-15	Hold-NEMHS	BR7	180-365	19	901.8
2016-01-13	Hold-NEMHS	MR4	365+	3	179
2016-01-02	Hold-NEMHS	TL1	180-365	10	1376.08
2015-11-30	Manual Tracking	MP1	365+	4	284
2016-01-04	F	LOG	60-90	1	69
2016-01-11	Hold-NEMHS	SR3	90-180	14	718
2015-12-30	Hold-NEMHS	SR1	90-180	6	342
2015-12-06	Hold-NEMHS	VA1	90-180	9	996.08
2015-12-03	Hold-NEMHS	ND2	0-30	21	802.75
2016-01-14	Hold-NEMHS	BR3	90-180	6	510
2015-12-08	Write off	SR3	180-365	10	642
2015-12-30	Hold-NEMHS	MP1	30-60	7	335
2015-12-01	Hold-NEMHS	SG2	90-180	2	90
2015-11-25	Billed	LOG	0-30	8546	180911.99
2016-01-12	Hold-NEMHS	SE2	90-180	16	758
2016-01-02	Hold-NEMHS	WC1	90-180	20	1331.2
2016-01-17	Write off	LR5	180-365	1	41
2016-01-09	Hold-NEMHS	MRC	90-180	4	329.85
2015-12-10	Hold-NEMHS	CDS	60-90	94	2342.8
2015-12-15	Hold-NEMHS	WS3	90-180	1	353
2016-01-12	Write off	SE2	365+	2	98
2015-12-24	Rebill	LOG	365+	7	181.03
2015-12-18	Rebill	LOG	365+	6	135.23
2015-12-02	Hold-NEMHS	PR1	365+	1	61
2015-12-10	Manual Tracking	MP1	30-60	1	73
2016-01-09	Hold-NEMHS	PB1	365+	1	161
2015-11-24	Hold-NEMHS	MR4	30-60	6	189.2
2015-12-20	Hold-NEMHS	MRC	180-365	23	1464.7
2015-12-04	Write off	LOG	365+	4	131.5
2015-12-10	Write off	LOG	365+	4	131.5
2015-12-30	Hold-NEMHS	TL1	30-60	3	215.96
2015-12-03	Hold-NEMHS	MR4	90-180	8	464
2015-12-26	Hold-NEMHS	MP1	365+	2	134
2016-01-01	Hold-NEMHS	MP1	365+	3	187
2016-01-08	Billed	LOG	90-180	1647	34659.92
2015-11-27	Hold-NEMHS	MR4	90-180	8	464
2015-12-02	Hold-NEMHS	PR1	180-365	5	365
2016-01-11	Hold-NEMHS	SE2	90-180	16	758
2015-12-03	Hold-NEMHS	KE3	0-30	6	656
2016-01-06	Manual Tracking	LOG	30-60	64	1457.89
2015-12-15	Manual Tracking	PN1	30-60	1	25.67
2015-12-11	Hold-NEMHS	KE3	0-30	2	180
2016-01-17	Hold-NEMHS	SR3	180-365	13	765
2016-01-05	F	LOG	60-90	1	69
2015-12-30	Write off	PVT	365+	91	4560.95
2016-01-12	Hold-NEMHS	LOG	0-30	1904	44411.56
2015-12-27	Hold-NEMHS	SR1	60-90	2	114
2016-01-10	Hold-NEMHS	ND2	180-365	10	506
2016-01-02	Hold-NEMHS	ND2	180-365	21	1405
2015-12-28	F	LOG	60-90	1	69
2016-01-03	Hold-NEMHS	SE2	90-180	16	758
2015-12-10	Manual Tracking	ND2	0-30	1	43.25
2015-12-30	Write off	PVT	60-90	3	327
2015-12-21	Hold-NEMHS	BR7	0-30	2	103.5
2015-12-06	Hold-NEMHS	KE3	365+	7	783
2016-01-13	Write off	MRC	365+	2	20
2016-01-02	Write off	TL1	365+	1	15.55
2015-12-03	Hold-NEMHS	PR1	365+	1	61
2015-12-31	Manual Tracking	LOG	0-30	70	982.86
2016-01-09	Hold-NEMHS	MR4	90-180	8	464
2015-11-30	Manual Tracking	MP1	60-90	2	146
2016-01-07	Hold-NEMHS	MR5	180-365	16	1464
2016-01-02	Hold-NEMHS	SY4	90-180	12	684
2015-12-11	Hold-NEMHS	PR1	365+	1	61
2015-12-25	Manual Tracking	MID	0-30	1	0
2015-12-25	Write off	TL1	365+	1	15.55
2015-11-28	Billed	VA1	180-365	1	83.5
2015-11-23	Hold-NEMHS	MP1	90-180	31	2639
2015-12-21	Hold-NEMHS	SK2	30-60	4	204
2016-01-13	Hold-NEMHS	VE2	30-60	1	57
2015-12-14	Hold-NEMHS	FA1	180-365	1	61
2015-12-30	Hold-NEMHS	MR5	180-365	16	1464
2015-11-29	Hold-NEMHS	MP1	180-365	50	3846
2016-01-03	Billed	MP1	90-180	1	153
2015-11-26	Hold-NEMHS	SK2	180-365	2	266
2015-12-04	Hold-NEMHS	SR1	30-60	5	205
2015-12-05	Hold-NEMHS	LOG	0-30	58	1179.05
2016-01-06	Hold-NEMHS	QR1	0-30	2	0
2015-12-06	Hold-NEMHS	KE3	30-60	11	759
2016-01-16	Hold-NEMHS	MRC	90-180	6	423.85
2015-12-13	Hold-NEMHS	SS1	180-365	17	1161
2015-12-04	F	LOG	90-180	6	406.84
2015-11-29	Hold-NEMHS	PVT	0-30	263	19420.4
2015-12-07	Hold-NEMHS	PVT	0-30	302	19137.5
2015-12-25	Hold-NEMHS	MR4	180-365	13	833
2016-01-08	Hold-NEMHS	KE3	30-60	2	170
2015-11-28	Hold-NEMHS	KE3	30-60	9	621
2016-01-15	Hold-NEMHS	SS1	180-365	21	1465
2016-01-10	Hold-NEMHS	SY4	90-180	14	798
2015-12-02	Billed	LOG	0-30	7179	151333.28
2015-12-18	Hold-NEMHS	TL1	0-30	6	65.24
2015-11-28	Hold-NEMHS	WC1	90-180	8	509.2
2015-11-26	Hold-NEMHS	PB1	180-365	73	6109.2
2015-12-10	Billed	LOG	0-30	5283	109841.15
2015-12-10	Manual Tracking	LOG	60-90	204	3809.68
2015-11-29	Hold-NEMHS	BR3	30-60	8	776
2015-12-06	Hold-NEMHS	WC1	90-180	8	509.2
2015-12-24	Manual Tracking	PVT	30-60	1	45
2015-12-11	Manual Tracking	PVT	90-180	9	431.25
2015-12-28	Write off	TL1	180-365	2	160.84
2015-12-07	Hold-NEMHS	SY4	180-365	76	5064
2015-12-20	Write off	BR7	30-60	2	106
2015-11-26	Hold-NEMHS	NB1	0-30	4	564
2016-01-04	Hold-NEMHS	LOG	0-30	569	6969.08
2015-12-22	Hold-NEMHS	CDR	0-30	846	25351.5
2015-11-27	Hold-NEMHS	VA1	90-180	7	875.72
2015-11-29	Hold-NEMHS	SY4	180-365	76	5064
2015-11-23	Hold-NEMHS	KE3	180-365	80	6364
2016-01-04	Rebill	LOG	180-365	27	640.46
2015-12-31	Hold-NEMHS	KE3	30-60	6	525.6
2016-01-08	Hold-NEMHS	KE3	365+	11	1059
2015-12-21	Hold-NEMHS	SS1	180-365	19	1299
2015-12-03	Hold-NEMHS	SS1	90-180	6	414
2015-12-17	Hold-NEMHS	ND2	0-30	16	726
2015-12-02	Hold-NEMHS	SK2	180-365	2	266
2015-12-19	Hold-NEMHS	SS1	180-365	19	1299
2016-01-12	Hold-NEMHS	QR1	0-30	6	894
2016-01-13	Hold-NEMHS	TL1	30-60	2	130.48
2015-12-12	Hold-NEMHS	KE3	30-60	8	752
2015-12-04	Hold-NEMHS	VA1	90-180	9	996.08
2015-12-31	Hold-NEMHS	BR3	90-180	12	1056
2015-12-19	Hold-NEMHS	TL1	180-365	12	2073.66
2015-12-06	Hold-NEMHS	ER2	180-365	2	226
2016-01-02	Rebill	LOG	365+	9	214.53
2015-12-23	Hold-NEMHS	MRC	30-60	9	492.4
2015-12-15	Hold-NEMHS	SG2	60-90	12	882
2015-12-19	Hold-NEMHS	WC1	90-180	12	719.2
2016-01-16	Hold-NEMHS	ML6	180-365	1	109
2016-01-01	Hold-NEMHS	MP1	0-30	96	5386.15
2015-11-23	Hold-NEMHS	BR3	30-60	28	2620
2015-11-25	Hold-NEMHS	SK2	0-30	4	215.5
2015-12-17	Hold-NEMHS	PB1	180-365	24	2420.2
2015-12-19	Manual Tracking	MP1	365+	4	284
2015-11-25	Manual Tracking	LOG	60-90	224	4297.65
2015-12-02	Hold-NEMHS	PB1	180-365	73	6109.2
2015-12-04	Hold-NEMHS	TL1	0-30	1	65.24
2015-12-12	Hold-NEMHS	WC1	90-180	8	509.2
2015-12-23	Hold-NEMHS	SS1	30-60	4	146
2016-01-11	Write off	TL1	180-365	2	160.84
2015-12-19	Hold-NEMHS	LOG	180-365	853	18525.38
2015-12-19	Hold-NEMHS	MID	30-60	1	53
2015-12-13	Hold-NEMHS	LOG	180-365	1521	33103.26
2015-12-25	Hold-NEMHS	SR3	30-60	25	1417
2015-12-31	Hold-NEMHS	SR3	30-60	32	1836
2016-01-14	Manual Tracking	LOG	0-30	64	1480.45
2015-12-24	Hold-NEMHS	BR3	90-180	10	878
2016-01-08	Manual Tracking	MID	0-30	1	0
2016-01-08	Hold-NEMHS	MP1	365+	3	187
2016-01-09	Hold-NEMHS	MR4	180-365	13	833
2015-11-25	Billed	LOG	365+	29	101.5
2015-12-17	Hold-NEMHS	PR1	365+	1	61
2015-12-01	Billed	LOG	365+	32	155.5
2015-12-24	Hold-NEMHS	CDS	90-180	69	1431.85
2015-12-27	Write off	MID	180-365	1	169
2015-12-27	Hold-NEMHS	SY4	90-180	8	456
2015-12-22	Manual Tracking	LOG	180-365	131	2951.13
2016-01-10	Hold-NEMHS	MID	30-60	3	189.39
2015-11-23	Hold-NEMHS	MP1	180-365	44	3192
2015-11-25	Manual Tracking	LOG	365+	3	34.5
2016-01-05	Hold-NEMHS	SS4	180-365	1	109
2015-12-08	Hold-NEMHS	ML7	180-365	1	173
2015-12-14	Hold-NEMHS	ML6	180-365	1	109
2015-12-06	Hold-NEMHS	SS1	180-365	17	1161
2015-12-30	Hold-NEMHS	SS4	180-365	1	109
2015-12-12	Billed	VA1	180-365	1	83.5
2015-12-29	Hold-NEMHS	MID	60-90	1	53
2015-11-24	Hold-NEMHS	MID	0-30	1	62
2015-11-26	Hold-NEMHS	PR1	180-365	6	426
2015-12-02	Hold-NEMHS	CDS	90-180	23	469.75
2015-11-30	Hold-NEMHS	FA1	180-365	1	61
2015-12-07	Hold-NEMHS	MR5	0-30	4	251
2015-12-08	Write off	PVT	365+	81	4080.4
2015-12-01	Hold-NEMHS	MRC	30-60	12	871.4
2015-12-03	Write off	MID	90-180	65	2399.01
2015-12-11	Hold-NEMHS	ND2	0-30	19	905
2015-12-22	Manual Tracking	MP1	90-180	3	203
2015-12-05	Hold-NEMHS	KE3	0-30	6	656
2015-12-13	Hold-NEMHS	TL1	180-365	12	2073.66
2015-12-16	Manual Tracking	LE2	30-60	1	98.8
2015-12-01	Billed	PB1	180-365	1	61
2016-01-01	Write off	LOG	90-180	87	1872.27
2016-01-02	Billed	LOG	60-90	95	2895.35
2015-11-27	Hold-NEMHS	TL1	0-30	4	271.08
2016-01-10	Hold-NEMHS	ML6	180-365	1	109
2015-11-30	Write off	MID	60-90	3	120.26
2015-12-11	Manual Tracking	PVT	180-365	3	105.25
2015-12-27	Hold-NEMHS	ND2	180-365	19	1315
2015-12-28	Hold-NEMHS	SE2	90-180	14	758
2015-11-29	Hold-NEMHS	HE6	0-30	5	399
2015-12-17	Write off	MRC	365+	2	20
2015-11-30	Hold-NEMHS	BR7	180-365	19	972.4
2015-12-08	Hold-NEMHS	MR4	30-60	2	90
2015-12-06	Hold-NEMHS	MP1	365+	5	921
2015-12-25	Manual Tracking	PVT	0-30	2	0
2015-12-12	Hold-NEMHS	MP1	365+	6	998
2015-12-28	Hold-NEMHS	PVT	90-180	616	42258.3
2016-01-03	Hold-NEMHS	PVT	90-180	604	40468.14
2016-01-13	Write off	SR3	180-365	14	902
2015-12-03	Hold-NEMHS	BR3	180-365	16	1296.9
2015-12-24	Hold-NEMHS	CDS	60-90	126	3042.8
2015-11-27	Hold-NEMHS	BR3	180-365	12	924.9
2016-01-10	Manual Tracking	MP1	60-90	1	73
2015-12-02	Manual Tracking	LE2	0-30	1	0
2016-01-06	Billed	LOG	90-180	1627	34148.21
2015-12-31	Billed	LOG	90-180	1591	33175.65
2015-12-22	Hold-NEMHS	BR7	180-365	17	787.8
2015-11-25	Hold-NEMHS	SY4	30-60	17	929
2015-11-30	Billed	LOG	60-90	84	2167.6
2016-01-04	Hold-NEMHS	CDS	90-180	104	2408.4
2015-12-19	Manual Tracking	MP1	60-90	5	293
2015-12-01	Hold-NEMHS	SY4	30-60	15	807
2015-12-06	Write off	PVT	30-60	2	194
2015-12-06	Billed	LOG	60-90	526	12247.37
2016-01-09	Hold-NEMHS	HE6	30-60	5	456
2016-01-15	Hold-NEMHS	HE6	30-60	2	265
2015-11-23	Hold-NEMHS	PVT	0-30	271	20385.4
2016-01-06	Hold-NEMHS	CDS	90-180	118	2739.85
2015-12-14	Billed	LOG	60-90	2166	50193.97
2016-01-13	Hold-NEMHS	SR1	90-180	6	342
2016-01-08	Hold-NEMHS	MR4	180-365	13	833
2015-11-28	Manual Tracking	LOG	90-180	286	5659.72
2016-01-15	Write off	PVT	180-365	121	10027.65
2016-01-10	Hold-NEMHS	MRC	90-180	4	329.85
2015-12-08	Manual Tracking	MP1	90-180	1	73
2015-12-06	Hold-NEMHS	SR1	30-60	3	123
2016-01-16	Write off	MID	180-365	64	2513.21
2016-01-16	Write off	TL1	180-365	2	160.84
2015-12-03	Hold-NEMHS	LR5	180-365	1	41
2016-01-09	Hold-NEMHS	SS1	180-365	23	1595
2015-11-25	Hold-NEMHS	BR3	60-90	27	2399
2015-12-17	Manual Tracking	LOG	0-30	58	1279.19
2015-11-25	Billed	PB1	180-365	1	61
2015-12-02	Hold-NEMHS	CDR	180-365	3	142.5
2015-12-14	Write off	TL1	180-365	2	160.84
2015-11-23	Hold-NEMHS	SG2	30-60	8	550
2015-11-23	Hold-NEMHS	PB1	30-60	17	1225
2015-11-24	Hold-NEMHS	HO1	60-90	2	114
2015-11-25	Hold-NEMHS	PR1	180-365	6	426
2015-12-05	Manual Tracking	PVT	180-365	3	105.25
2016-01-04	Manual Tracking	LE2	30-60	1	98.8
2015-12-19	Hold-NEMHS	BR7	0-30	2	103.5
2015-12-14	Manual Tracking	MP1	60-90	2	106
2015-12-11	Hold-NEMHS	ER2	180-365	2	226
2015-12-11	Hold-NEMHS	TL1	0-30	2	65.24
2015-12-30	Hold-NEMHS	BR3	90-180	12	1056
2016-01-08	Write off	TL1	365+	1	15.55
2015-11-27	Hold-NEMHS	PR1	365+	1	61
