measurement_date	invoice_status	agency	aging_bucket	sum_of_trips	sum_of_dollars
2015-12-30	Hold-NEMHS	MP1	90-180	18	1522
2015-12-01	Hold-NEMHS	LOG	90-180	873	18762.28
2016-01-14	Billed	LOG	60-90	48	1663.39
2015-12-17	Write off	MID	30-60	1	62
2015-12-23	Hold-NEMHS	PVT	0-30	316	20869.61
2015-11-26	Hold-NEMHS	PB1	90-180	5	337
2015-12-02	Hold-NEMHS	PVT	0-30	290	20494
2015-11-30	Manual Tracking	MP1	180-365	6	358
2016-01-07	Hold-NEMHS	ND2	180-365	12	596
2015-12-18	Hold-NEMHS	BR7	180-365	17	787.8
2016-01-09	Hold-NEMHS	FA1	180-365	2	138
2015-12-22	Rebill	LOG	365+	6	135.23
2015-11-26	Hold-NEMHS	SR1	30-60	26	1098
2016-01-06	Hold-NEMHS	LR5	180-365	1	41
2016-01-11	Hold-NEMHS	TL1	0-30	7	930.44
2015-12-08	Manual Tracking	MP1	30-60	1	73
2016-01-13	Hold-NEMHS	PB1	365+	1	161
2016-01-13	Write off	TL1	180-365	2	160.84
2016-01-14	Write off	MID	30-60	4	192.64
2016-01-13	Hold-NEMHS	CDS	30-60	165	3620.05
2015-12-27	Billed	PVT	180-365	2	174
2015-12-29	Manual Tracking	MID	0-30	1	0
2015-12-30	Rebill	LOG	180-365	29	673.96
2016-01-08	Hold-NEMHS	HE6	0-30	2	214
2015-12-22	Billed	MP1	0-30	11	719
2016-01-14	Hold-NEMHS	PB1	30-60	8	688
2015-12-09	Hold-NEMHS	SS1	90-180	6	414
2015-12-05	Hold-NEMHS	SR3	90-180	5	309
2016-01-16	Hold-NEMHS	CDS	90-180	118	2870.75
2016-01-07	Hold-NEMHS	SR3	90-180	14	894
2016-01-06	Write off	MID	180-365	55	1923.7
2016-01-01	Hold-NEMHS	SR1	90-180	6	342
2016-01-02	Hold-NEMHS	HE6	180-365	2	210
2016-01-15	Hold-NEMHS	LOG	30-60	58	1229.87
2015-12-24	Hold-NEMHS	PB1	90-180	6	510
2016-01-01	Hold-NEMHS	MP1	30-60	11	499
2015-12-27	Manual Tracking	PVT	30-60	1	45
2015-12-21	Write off	MID	90-180	68	2519.27
2016-01-12	Hold-NEMHS	CR5	365+	2	102
2015-12-30	Write off	MR4	0-30	2	418
2015-12-31	Hold-NEMHS	LOG	365+	6	56.25
2015-12-28	Hold-NEMHS	VA1	90-180	6	361.08
2015-11-25	Write off	LOG	90-180	4	52.75
2016-01-05	Write off	LOG	90-180	78	1653.23
2016-01-06	Hold-NEMHS	PB1	180-365	13	1757
2016-01-13	Billed	MP1	365+	14	1638
2016-01-17	Hold-NEMHS	MRC	60-90	10	777.4
2015-12-14	Hold-NEMHS	CDR	180-365	3	142.5
2016-01-15	Hold-NEMHS	FA1	180-365	2	138
2015-12-11	Hold-NEMHS	SK2	0-30	4	204
2015-12-18	Hold-NEMHS	CDS	60-90	103	2560.65
2016-01-01	Hold-NEMHS	ND2	60-90	2	82
2016-01-17	Hold-NEMHS	SS1	365+	2	130
2016-01-07	Billed	MP1	180-365	31	2427
2015-12-14	Hold-NEMHS	PR1	365+	1	61
2016-01-13	Write off	BR7	60-90	4	212
2016-01-16	Billed	LOG	0-30	6106	141460.64
2015-12-24	Billed	MP1	0-30	7	395
2015-12-28	Hold-NEMHS	TL1	0-30	9	65.24
2015-12-30	Hold-NEMHS	CDS	30-60	134	3046.35
2015-12-20	Hold-NEMHS	TL1	0-30	7	65.24
2015-12-19	Write off	LOG	30-60	2	36.5
2015-12-31	Manual Tracking	MP1	365+	6	382
2015-12-21	Manual Tracking	LOG	365+	35	806.78
2015-12-03	Write off	BR7	30-60	8	424
2016-01-17	Hold-NEMHS	BR3	60-90	4	388
2015-11-23	Hold-NEMHS	MID	180-365	4	87.67
2015-11-24	Hold-NEMHS	MP1	60-90	2	154
2016-01-05	Hold-NEMHS	ND2	180-365	21	1405
2016-01-05	Billed	MP1	365+	6	990
2016-01-11	Write off	LOG	365+	4	131.5
2015-12-01	Hold-NEMHS	TL1	90-180	29	4629.42
2015-12-31	Billed	LOG	60-90	102	3089.43
2015-12-22	Hold-NEMHS	ND2	0-30	16	726
2015-12-20	Hold-NEMHS	VA1	90-180	6	361.08
2016-01-13	Hold-NEMHS	PB1	0-30	12	560
2015-12-14	Hold-NEMHS	BR3	180-365	10	714.9
